Index,Sentences,URL
399,"['very smoothly , very clean from inside/outside , rebuilt', 'clean from inside/outside , rebuilt status due to minor']",facebook.com/marketplace/item/309400261451224/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
400,['clean title 2009 honda civic'],facebook.com/marketplace/item/666304205715269/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
401,"['accident-free 2016 honda civic lx', '2016 honda civic lx carfax available upon request recently', 'serviced and oil change accident-free 2016 honda civic lx', ', uber & lyft clean and well maintained .']",facebook.com/marketplace/item/1231311474241755/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
402,['trim ( turbo ) clean title used with care'],facebook.com/marketplace/item/292478516769017/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
403,"['seats , neat & clean almost new tyres ,', ', eco mode , rebuilt title']",facebook.com/marketplace/item/309874814722670/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
404,"['hatchback lx cvt no accident - carfax provided finance', 'cvt no accident - carfax provided finance available dealer']",facebook.com/marketplace/item/2150026785196043/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
406,"['honda civic with a clean title is now available', 'and comes with a carfax report , inspection report']",facebook.com/marketplace/item/818042449794693/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
407,"['2016 honda civic-82,000km ( rebuilt status ) automatic transmission']",facebook.com/marketplace/item/1004465727666539/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
408,['clean titile honda civic 2011'],facebook.com/marketplace/item/1636239146858823/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
409,"['title : * * rebuilt ( minor front bumper', '( minor front bumper damage only , no engine']",facebook.com/marketplace/item/2598900630262572/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
410,"['well kept , very clean .']",facebook.com/marketplace/item/948499906454010/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
411,['carfax & inspection report available'],facebook.com/marketplace/item/967964104354702/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
412,"['no accident or rebuilt history .', 'no accident or rebuilt history .']",facebook.com/marketplace/item/291413786876144/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
413,['clean title no problem i'],facebook.com/marketplace/item/1329445604646064/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
414,['114000 kms title : rebuilt 7 months free warranty'],facebook.com/marketplace/item/164079756636878/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
415,['to low ballers not rebuilt no mechanical issues'],facebook.com/marketplace/item/1010123390442882/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
416,"['clean title , clean car', 'clean title , clean car inside out']",facebook.com/marketplace/item/187760740971463/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
417,['does have a rebuilt title price is firm'],facebook.com/marketplace/item/623713596407630/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
418,['x2 doors honda civic rebuilt what i done new'],facebook.com/marketplace/item/588828056772776/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
419,['bc car * * clean title * * we'],facebook.com/marketplace/item/828197458721550/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
420,['no accident.clean title cruise control and'],facebook.com/marketplace/item/747411457070869/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
421,"['status is rebuilt we got the car', ""if it 's minor accident we have all the"", 'to worry for the accident .']",facebook.com/marketplace/item/252037567769966/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
423,"['- local , no accident , apple carplay ,', '# 30903 https : //vhr.carfax.ca/ ? id=t1hzipbscj25sqxaylqbsnnah8qqvr/r our best']",facebook.com/marketplace/item/253888907503719/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
424,['vehicles come with a carfax report and a comprehensive'],facebook.com/marketplace/item/795206208762922/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
425,"['the car is a clean title it was in', 'was in one minor accident that i got professionally']",facebook.com/marketplace/item/985877739394365/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
426,['coupe local bc car clean tittle -fully loaded -very'],facebook.com/marketplace/item/735095118426444/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
428,['- it has a rebuilt status and was perfectly'],facebook.com/marketplace/item/281680811172423/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
429,"['rebuilt title , and we', 'repair , inspection and carfax reports .']",facebook.com/marketplace/item/245722065074275/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
430,"[""honda civic 2008 clean title i wo n't""]",facebook.com/marketplace/item/294900099784500/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
432,['rebuilt status top of the'],facebook.com/marketplace/item/824791532552124/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
433,['carplay great on gas rebuilt title * *'],facebook.com/marketplace/item/262192523222274/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
434,"['clean title | running great', 'the road with its clean title and exceptional performance']",facebook.com/marketplace/item/676114617309050/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
435,['vehicles come with a carfax report and a comprehensive'],facebook.com/marketplace/item/320162583774820/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
436,"[', local , no accident , - burnaby vin', '# 30903 https : //vhr.carfax.ca/ ? id=gkhca9t8cfbjs1wzshu68lzmozgalldu best price', 'vehicles come with a carfax report and a comprehensive']",facebook.com/marketplace/item/652544149888503/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
440,['1.5l 4 cylinder turbo clean title -local bc -sunroof'],facebook.com/marketplace/item/3570844946569318/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
441,['clean title price firm odometer'],facebook.com/marketplace/item/1052518342788436/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
443,"['168k km- local bc -rebuilt small damage on back', 'local bc -rebuilt small damage on back bumper ,']",facebook.com/marketplace/item/6783713514996253/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
444,"['auto lx * * clean status , single owner', 'full vehicle history by carfax vehicle reports are included']",facebook.com/marketplace/item/647640003968468/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
447,"['clean title not rebuilt .', 'clean title not rebuilt .']",facebook.com/marketplace/item/1301045820782004/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
449,['clean title no accidents .'],facebook.com/marketplace/item/297011986165927/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
451,['call tony at for carfax report and more information'],facebook.com/marketplace/item/1922321464821123/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
452,"['rebuilt title , and we', 'repair , inspection and carfax reports .']",facebook.com/marketplace/item/588772060078254/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
454,['vehicles come with a carfax report and a comprehensive'],facebook.com/marketplace/item/618350030422179/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
456,['clean title no accidents .'],facebook.com/marketplace/item/1489098051865039/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
457,"['a local , no accident , one owner can', 'come first serve very clean inside and out average']",facebook.com/marketplace/item/1248621249179510/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
458,['2hgfc4b88kh400982 - title : rebuilt * * * *'],facebook.com/marketplace/item/1042024760057196/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
459,"[""clean title we 're selling""]",facebook.com/marketplace/item/809786280644056/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
460,"['accident-free 2016 honda civic ex', '2016 honda civic ex carfax available upon request recently', 'carplay navigation cruise control clean and well maintained .']",facebook.com/marketplace/item/882741436018275/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
462,['oac it has a rebuilt title .'],facebook.com/marketplace/item/6301457026638972/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
463,['or 16km per litre clean interior cushion seat covers'],facebook.com/marketplace/item/606045424737620/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
464,"[""clean title we 're selling""]",facebook.com/marketplace/item/3570517749939931/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
466,"['with eco mode , clean title , automatic transmission']",facebook.com/marketplace/item/510212981271344/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
468,['carfax and inspection available extended'],facebook.com/marketplace/item/606906878093720/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
469,['smoking smell - very clean inside out - cruise'],facebook.com/marketplace/item/184528387956785/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
470,['this car is rebuilt status !'],facebook.com/marketplace/item/6185392678250246/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
472,['2018 honda civic ex clean title with only 79212'],facebook.com/marketplace/item/1997040483964465/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
473,['bc car * * clean title * * we'],facebook.com/marketplace/item/609445177842386/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
474,"['sedan lx 166,903 kms clean title hondasense safety system']",facebook.com/marketplace/item/2469418756549533/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
476,"['copy and paste for carfax history : https :', 'history : https : //vhr.carfax.ca/ ? id=syxlig1ebdxfqxh0eryorfj7zi5dehkm details bodystyle']",facebook.com/marketplace/item/663252222503027/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
477,"['only 2 owners rebuilt with just cosmetic damage', 'rebuilt with just cosmetic damage passed icbc inspections and', 'has lot of power carfax//vhr.carfax.ca/ ? id=y0jaqdscv+d0qgc7rh9mgvpnvgwo/rfn * *']",facebook.com/marketplace/item/1423749668357859/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
478,"['local car , no accident claims !']",facebook.com/marketplace/item/4884929611631175/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
480,['clean title no accidents .'],facebook.com/marketplace/item/157358407374132/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
481,['full safety inspection and carfax report same day approvals'],facebook.com/marketplace/item/805842554363760/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
482,"[""of the vehicle 's carfax history or text/call/visit for""]",facebook.com/marketplace/item/661097089253293/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
483,"['used car for sale clean title no accident call', 'sale clean title no accident call carlson @ (', 'carfax available dm for more']",facebook.com/marketplace/item/4281251528766573/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
